CO_CURSO|NO_CURSO
5001148|ABI - MATEMÁTICA
5001149|ABI - LETRAS FRANCÊS
5001150|ABI - LETRAS INGLÊS
5001151|ABI - LETRAS - LÍNGUA PORTUGUESA
294|ENGENHARIA CIVIL
295|ENGENHARIA QUÍMICA
297|MATEMÁTICA
299|QUÍMICA INDUSTRIAL
302|ENFERMAGEM
303|MEDICINA
304|ODONTOLOGIA
306|CIÊNCIAS CONTÁBEIS
308|DIREITO
310|GEOGRAFIA
311|HISTÓRIA
315|PEDAGOGIA
317|CIÊNCIA DA COMPUTAÇÃO
318|CIÊNCIAS SOCIAIS
319|ENGENHARIA AGRONÔMICA
321|MATEMÁTICA
322|QUÍMICA
326|FILOSOFIA
327|CIÊNCIAS BIOLÓGICAS
328|GEOGRAFIA
20190|CIÊNCIAS BIOLÓGICAS
20762|ADMINISTRAÇÃO
20763|CIÊNCIAS SOCIAIS
20764|CIÊNCIAS ECONÔMICAS
20766|ENFERMAGEM
20767|FÍSICA
20768|FÍSICA
20782|QUÍMICA
22046|ESTATÍSTICA
40149|ENGENHARIA DE ALIMENTOS
49512|FÍSICA MÉDICA
49673|ENGENHARIA FLORESTAL
52852|PSICOLOGIA
64064|SERVIÇO SOCIAL
80418|ENGENHARIA ELETRÔNICA
80419|ARTES VISUAIS
80420|JORNALISMO
80877|LETRAS - LÍNGUA PORTUGUESA
80885|LETRAS - ESPANHOL
80886|LETRAS - INGLÊS
80896|LETRAS - PORTUGUÊS E INGLÊS
80899|LETRAS - PORTUGUÊS E FRANCÊS
94033|ZOOTECNIA
95017|SISTEMAS DE INFORMAÇÃO
95033|ADMINISTRAÇÃO
95037|CIÊNCIAS BIOLÓGICAS
95044|CIÊNCIAS CONTÁBEIS
95050|FÍSICA
95051|GEOGRAFIA
95053|LETRAS - LÍNGUA PORTUGUESA
95055|MATEMÁTICA
95057|PEDAGOGIA
95059|QUÍMICA
98609|FARMÁCIA
99400|ENGENHARIA MECÂNICA
99402|ENGENHARIA DE MATERIAIS
99404|NUTRIÇÃO
99406|SISTEMAS DE INFORMAÇÃO
99408|GEOLOGIA
99409|ENGENHARIA DE PESCA
99411|FISIOTERAPIA
99413|FONOAUDIOLOGIA
99416|ENGENHARIA DE PRODUÇÃO
99418|SECRETARIADO EXECUTIVO
99420|TURISMO
99423|EDUCAÇÃO FÍSICA
99425|MÚSICA
99426|LETRAS - PORTUGUÊS E ESPANHOL
99444|ARQUITETURA E URBANISMO
99446|DANÇA
99450|MUSEOLOGIA
99452|ARQUEOLOGIA
101666|EDUCAÇÃO FÍSICA
106402|FÍSICA
106404|MATEMÁTICA
106408|QUÍMICA
106411|CIÊNCIAS BIOLÓGICAS
106416|GEOGRAFIA
106418|HISTÓRIA
106421|LETRAS - LÍNGUA PORTUGUESA
116188|ENGENHARIA DE COMPUTAÇÃO
116192|CIÊNCIAS ATUARIAIS
116194|BIBLIOTECONOMIA E DOCUMENTAÇÃO
116210|COMUNICAÇÃO SOCIAL - AUDIOVISUAL
116216|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
116220|ENGENHARIA ELÉTRICA
116324|RELAÇÕES INTERNACIONAIS
1108064|DESIGN
1108065|ENGENHARIA AGRÍCOLA
1108066|ENGENHARIA AMBIENTAL E SANITÁRIA
1108067|MEDICINA VETERINÁRIA
1108149|ENFERMAGEM
1108153|MEDICINA
1108154|FARMÁCIA
1108158|NUTRIÇÃO
1108163|FISIOTERAPIA
1108167|ODONTOLOGIA
1108170|FONOAUDIOLOGIA
1108172|TERAPIA OCUPACIONAL
1109547|ECOLOGIA
1109548|ENGENHARIA DE PETRÓLEO
1116573|ADMINISTRAÇÃO PÚBLICA
1158648|ASTRONOMIA
1182902|CIÊNCIAS DA RELIGIÃO
1182904|MATEMÁTICA APLICADA E COMPUTACIONAL
1279838|LETRAS - LIBRAS
1316062|TEATRO
1321266|FILOSOFIA
1321267|LETRAS - ESPANHOL
1321268|LETRAS - INGLÊS
1321449|AGROINDÚSTRIA
1321453|MEDICINA VETERINÁRIA
1321454|ZOOTECNIA
1321455|ENGENHARIA AGRONÔMICA
1457514|CINEMA E AUDIOVISUAL
1457515|PUBLICIDADE E PROPAGANDA
376|DIREITO
377|SERVIÇO SOCIAL
378|CIÊNCIAS ECONÔMICAS
379|MATEMÁTICA
380|FILOSOFIA
381|PEDAGOGIA
382|QUÍMICA
383|ENGENHARIA CIVIL
385|ENGENHARIA FLORESTAL
386|ENGENHARIA DE PESCA
388|CIÊNCIAS CONTÁBEIS
389|MEDICINA
390|FARMÁCIA
391|ODONTOLOGIA
392|ADMINISTRAÇÃO
393|BIBLIOTECONOMIA
394|CIÊNCIAS NATURAIS
395|COMUNICAÇÃO SOCIAL - JORNALISMO
396|EDUCAÇÃO FÍSICA
397|FÍSICA
398|CIÊNCIAS BIOLÓGICAS
399|AGRONOMIA
400|ESTATÍSTICA
401|GEOLOGIA
402|HISTÓRIA
403|GEOGRAFIA
407|CIÊNCIAS SOCIAIS
2133|ENFERMAGEM
18353|PSICOLOGIA
