CO_IES|SG_IES|CO_UF
1936|UNILASALLE - LUCAS|51
1042|UP|41
17138|Católica em Joinvile|42
645|Católica em Jaraguá|42
648|FAZU|31
649|UNIUV|41
657|FAFOPST|26
17775|FACISST|26
15410|FACHUSST|26
661|FPD|28
663|UNIVERSO|33
142|UNITRI|31
664|UVV|32
665|UNITAU|35
666|UEFS|29
668|CIESA|13
669|UNINILTONLINS|13
2468|ITF|33
670|USF|35
672|UniFACENS|35
4429||50
673|UNIGRAN|50
674|CESVASF|26
1356|UNIFUNEC|35
677|FRASCE|33
5439|UNICEPLAC|53
4218|FPL|31
1840|FCB|32
685|FBJ|26
686|FACAL|26
688|UESB|29
5285|FACCAT|43
692|FACAPE|26
693|UNIRIO|33
694|UFMS|50
701|FACIGA|26
702|FADIMAB|26
704|FACIAGRA|26
703|FAFOPA|26
705|UNISJ|33
706|FADM|53
1692|ESPF|35
707|UNICEP|35
1437|ESRC|35
712||33
715||41
716||35
718|UNP|24
719|UNEMAT|51
720|FACHUCA|26
724|UNIFACEX|24
727|FASF|31
375|UNISA|35
1299|FIFE|35
734|FIMI|35
739|SÃO CAMILO-ES|32
737|SAO CAMILO|35
1904|FASC|33
744|FA|52
745|IMESSM|35
746|URCA|23
749|CESVALE|22
750|UnirG|17
752|FAPAM|31
753|FACHUSC|26
755|CESUT|52
756|UESPI|22
760|FCHPE|26
763|IUESO|52
3787|FESAM|16
3783|FAPEN|15
3778|FACAR|28
1446|UNIPLAN|53
2911|FAPAN|15
2917|FABRAN|16
2248|FASER|28
764|FAPG|33
1187|MÓDULO|35
11645|FAEV|11
4255|UNESC|11
12758|FAEC-PVH|11
789|UFRR|14
790|FICSAE|35
3985|SENACSP|35
792|CESUPA|15
1817|ESTÁCIO CURITIBA|41
22202|EstácioJuazeiro|29
793|ESTÁCIO SÃO PAULO|35
4009|FATEC ESTÁC CURITIBA|41
1547|ESTÁCIO FMJ|23
3779|ESTÁCIO SANTO ANDRÉ|35
2460|ESTÁCIO DE NATAL|24
1457|ESTÁCIO EUROPAN|35
1280|Estácio FAAC|35
2380|ESTÁCIO AMAPÁ|16
2122||28
1058|Estácio FIB|29
1298|ESTÁCIO FAL|27
2036|ESTÁCIO FAP|15
1077||26
1107|Estácio FIC|23
794|UNIVAG|51
795|FID|51
796|EDUVALE|51
798|FAACZ|32
802|UNICARIOCA|33
1046|UNILAGO|35
809|FADILESTE|31
810|CTESOP|41
14403|CESUMAR|41
1196|UNICESUMAR|41
19375|CESUMAR|41
17632|FAC-CESUMAR|41
19404|CESUMAR|41
19735|RENOVAÇÃO|41
18290|INTEGRADA|41
18147|INTEGRADA|41
18716|FAC-CESUMAR|41
19407|CESUMAR|41
19406|CESUMAR|41
17420|FAC-CESUMAR|41
18714|FAC-CESUMAR|41
18726|FAC-CESUMAR|41
19733|RENOVAÇÃO|41
4396|UNIFIMES|52
824|UNICERRADO|52
825|FAGAMMON|31
5670|UNIVAR|51
829|UNITINS|17
830|UNIFAP|16
831|FCHVRG|35
832|FAC|31
833|FIAR|11
838|FCTFOR|23
837|FCHFOR|23
839|FAVI|32
840|FAVI|32
1498|FAVI|32
2245|FACES|32
843|FATEB|35
1307|FAEF|35
845|FAC-FEA|35
846|FAT|22
1656|IEST|22
2150|FAPI|22
847|FPPD|22
3784|IESRN|24
1462|INPER|25
848|FPPD|25
2243|FAP|25
2908||24
849|FAJE|31
1182|IESA|35
1872|FARESC|41
861|CEAP|16
1032|UNISAL|35
873|UNIFOZ|41
874|FESAV|32
1550||41
877|FEPI|41
2165|FAFIG|41
2086|IESFI|41
881|IMESA|35
882|IMESB|35
890|EG|31
1038|AEMS|50
3170||42
898|UNISANTARITA|35
900|FATEC|11
905|FACEPD|35
908|FAA|27
2244|FACIMA|27
2075|IESA|27
909||33
910|FCACSL|35
913|FIPAR|50
916|ESTÁCIO TERESINA|22
918||41
923|UNISÃO ROQUE|35
1422|UNINORTE|13
1142|FDV|32
1125|FIES|41
939|CATÓLICA DE ANÁPOLIS|52
952|UNISANTA|35
953|UNIMES|35
1162|FAF|51
1867|FSD|31
3688||41
989|ESMA|31
991|SENAI-CETIQT|33
1444|FIEL|35
997||35
2328|FITB|35
1012|FASP|26
1014|BOM JESUS/IELUSC|42
5369|ASMEC|31
1225|UNIFIA|35
828|FASAMA|31
4185|FPBE|35
1554|UNIVR|35
3823||31
1019|FACTU|31
1170|FAMEC|29
17116|FCG|26
1021|FACET|26
1143|FACET|26
1028|UEMS|50
1049|CESF|13
1051|SEUNE|27
3754|FADMINAS|31
1123|IESUS|29
1055|Uninassau Salvador|29
1060|IESB|53
1428|IESPLAN|53
1067|FAJ|52
1068|FAMA|31
1071|IESF|50
3805|FATECPB|25
1075|UNIESP|25
1076|FAFIC|25
1079|CESPAR|41
1085|FMC|43
19172|FIMCAVILHENA|11
1087||11
1090|FSLF|28
1092|FIB|35
1174|SOECS|31
3692|FATEC CAMPINAS|35
1385|FIPEP|35
15508|CEUPI|22
22131||17
4450|UNIFAMAZ|15
21892|CESUP|17
1113|UNIEURO|53
1115|CEST|21
738|FATEA|35
545|FADECH|31
4938||41
135|CEUCLAR|35
1854||35
1131|UNIFSA|22
1136|FACIG|26
1360||22
1141||33
1144|IMENSU|35
1379|FAESA|32
1151|FANESE|28
1157|ESFA|32
1159|CESV|32
1160|CAMBURY|52
14609||35
4817||35
4814||35
4815||35
1150|SP SENAI|35
4819||35
1286|SENAI|35
17516||35
15502||35
1195|SENAI|35
1526|SENAI|35
4820||35
17691||35
17690||35
15501||35
1175|ESTÁCIO FARGS|43
1185|UNIJORGE|29
370|FPA|35
1191|IESF|23
1192|FACIS|35
1198|FACET|41
1202|FASAR|31
1205|FAEL|41
1208||24
4157|FAMESUL|42
2175||42
1472|UNIASSELVI|42
2755|FAVIM|42
16914||42
1958|CET BLUMENAU|42
1957|SENAI DE JOINVILLE|42
1763|SENAI|42
3155|FATEC|42
3159|SENAI -SC - CTAI|42
1219|IIES|35
1227||29
1237|FANAP|52
1239|PADRAO|52
2073|ISE-PADRAO|52
2442|PIO XII - BIO|32
2351|PIO XII - DIR|32
1240|PIO XII|32
23318||32
1244|MULTIVIX VITÓRIA|32
1245|Multivix Castelo|32
1970|UNES|32
1248|ANAEC|50
1249|FECRA|50
1253|FMG|31
1256|DOM BOSCO|41
5403|Uniopet|41
1263|FABA|33
1264|UNI-RN|24
1267|IESGF|42
2174|FASC|42
1270|ESTÁCIO RIBEIRÃO PRE|35
17803|Estácio Rio Preto|35
1273|UNIFACCAMP|35
1276|I.T.E.S.|35
1279|FACITA|35
1281|FAIT|35
1294|CAM|35
4064|FAMA|26
1296|ESM|26
1300|ITES|35
1302|FBB|29
19284|FBBR|29
1310|FAM|35
14878|TEN|35
13811||33
1311|TREVISAN|35
1317|UniFSP|35
1318||29
13873|FINOM|31
682|FINOM|31
1319|FATEC|31
4043|FATEC EDUVALE|35
1322|EDUVALE|35
1325|FAP|41
1328|FACOTTUR|26
1330|COTEMIG|31
2491|ISCECAP|53
1333|CECAP|53
12625|ESAC|25
1334|UNIFACISA|25
5186||41
1612|FAG TOLEDO|41
1336|FAG|41
1337|FMD|41
1350|FVJ|23
14028|UNA|31
4766|FUNAC|31
1618||42
22736|SOCIESC|42
4045|UNISOCIESC|41
3758||42
3691|FTT-SBS|42
3437||42
19257|Una Divinopolis|31
21415|UNA|31
302|FACED|31
1351||42
18454|Unaset|31
19865|Una PousoAlegre|31
5017|FAETERJ PETRÓPOLIS|33
5051|FAETERJ BJ ITABAPOAN|33
5021|FAETERJ ITAPERUNA|33
5018|ISEPAM|33
5016|FAETERJ R DE JANEIRO|33
23713|FAETERJ B.MANSA|33
5020|FAETERJ S ANT. PÁDUA|33
1357|ISERJ|33
19588|FAETERJ CAXIAS|33
5053|FAETERJ PARACAMBI|33
5052|FAETERJ TRÊS RIOS|33
1100|UniDrummond|35
2741|FACDO|17
1362||31
1373|FACAB|35
1375|FCARP|51
1381|FMF Wyden|13
1780|FAHOR|43
1382|EST|43
1383|FAJOLCA|26
1384|FSH|26
4211|ESAMC|35
1386|ESAMC|35
17902|ESAMC|35
1387|FAPEN|35
1388||35
1395|UNICALDAS|52
1396|UDC|41
3193|CESCAGE|41
1401|FAR|22
1402|ICSH|52
1403|FAP|11
1404|FAP|52
1409|UCL|32
17828|UCL|32
1411|F2J|29
1413|CESPRI|35
1414|UniSL|11
1423|Faci Wyden|15
1427|FSG|43
12523||43
1429|FABAT|33
1430||41
1434|UNIESI|35
1436|ESBAM|13
1439|FACAMP|35
1438|FACAMP|35
1440|IAESUP|52
1441|FATEPI|22
1841|TOLEDO PRUDENTE|35
3602|UNIBRASIL|41
1459|UNIFUCAMP|31
1455|FSSS|29
1454|FASNE|26
1468|ESAMC|31
1469||42
2632|UNESULBAHIA|29
1494||32
1752|FADISP|35
1493|UNIALFA|52
1491|UNINTER|41
20406|FJI|35
20465|FAAGROH|35
1490|UniFAJ|35
1488|FL-RJ|33
1487|UNIDOM - BOSCO|41
18719|FAESC|42
1500|FAESI|41
1508|UNIFAMMA|41
1513|PITÁGORAS ICF|22
1514|F.V.C.|32
1519|FADEP|41
1521|ESTÁCIO BELÉM|15
1523|CESUL|41
1535|FAPI|41
1536|FATEB|41
1540|IESUR|11
1541||35
1538|UNIPROJEÇÃO|53
1546|FAESF|21
1552||22
1556|UNI7|23
1561|ESAMC|35
1564|FASF|33
1883||29
1644|FEC|29
1571|FCS|29
1565|FCJ|29
2037|FCT|29
1572|FACISA|29
11862||29
1573|FAN|52
4922||41
1574|UDC Medianeira|41
1577|FACINOR|41
1580|FACESA|52
